中文名,英文名,影片容量
洛基,Rocky (1976),
洛基2,Rocky II (1979),
洛基3,Rocky III (1982),
洛基4,Rocky IV (1985),
洛基5,Rocky V (1990),
洛基：勇者無懼,Rocky Balboa (2006),
星球大战4：新希望/星球大战：曙光乍现(4K原盘+含国语音轨),Star Wars: Episode IV - A New Hope (1977),52.2G
星球大战2：帝国反击战/星球大战5：帝国反击战(4K原盘+含国语音轨),Star Wars: Episode V - The Empire Strikes Back (1980),54.7G
星球大战3：绝地归来/星球大战6：武士复仇(4K原盘+含国语音轨),Star Wars: Episode VI - Return of the Jedi (1983),50G
星球大战前传1:魅影危机(4K原盘+含国语音轨),Star Wars: Episode I - The Phantom Menace (1999),54.9G
星球大战前传2：克隆人的进攻(4K原盘+含国语音轨),Star Wars: Episode II - Attack of the Clones (2002),52.6G
星球大战前传3：西斯的复仇(4K原盘+含国语次世代),Star Wars: Episode III - Revenge of the Sith (2005),69.6G
星球大战7：原力觉醒(4K原盘+含国语音轨),Star Wars: The Force Awakens (2015),42.5G
星球大战外传：侠盗一号,Rogue One: A Star Wars Story (2016),
星球大战8：最后的绝地武士,Star Wars: The Last Jedi (2017),
星球大战外传：韩索罗,Solo: A Star Wars Story (2018),
星球大战9：天行者崛起/星战9(4K原盘+含国语次世代),Star Wars: The Rise of Skywalker (2019),66.6G
异形,Alien (1979),
异形2,Aliens (1986),
終極戰士,Predator (1987),
終極戰士2,Predator 2 (1990),
异形3,Alien 3 (1992),
异形4：复活,Alien: Resurrection (1997),
异形大战铁血战士,Alien vs. Predator (2004),
异形大战铁血战士2：安魂曲,Aliens vs. Predator: Requiem (2007),
終極戰士3：掠奪者,Predators (2010),
普罗米修斯/异形前传(4K原盘+国语次世代),Prometheus (2012),46.6G
异形：契约/异形：圣约(国语次世代音轨),Alien: Covenant (2017),44.6G
終極戰士：獸獵,The Predator (2018),
异形：夺命舰/异形：罗穆路斯/异形9(4K原盘+国语次世代),Alien: Romulus (2024),60.8G
疯狂的麦克斯,Mad Max (1979),
疯狂的麦克斯2(4K原盘+含国语次世代),Mad Max 2 (1981),58.6G
疯狂的麦克斯3(4K原盘+含国语音轨),Mad Max Beyond Thunderdome (1985),53.8G
疯狂的麦克斯：狂暴之路,Mad Max: Fury Road (2015),
芙莉歐莎：疯狂的麦克斯传奇篇章,Furiosa: A Mad Max Saga (2024),
星际迷航1/星际旅行：无限太空(4K原盘+含国语音轨),Star Trek: The Motion Picture (1979),59.7G
星际迷航2：可汗之怒(4K原盘+含国语音轨),Star Trek: The Wrath of Khan (1982),58.1G
星际迷航3,Star Trek III: The Search for Spock (1984),
星际迷航4：抢救未来(4K原盘+含国语音轨),Star Trek IV: The Voyage Home (1986),61.2G
星际迷航5-终极先锋(4K原盘+含国语音轨),Star Trek V: The Final Frontier (1989),52.9G
星际迷航6-未来之战/星际旅行6:未来之城/星舰奇航记6:迈入未来(4K原盘+含国语音轨),Star Trek VI: The Undiscovered Country (1991),63.9G
星际迷航(重啟),Star Trek (2009),
星际迷航：暗黑无界,Star Trek Into Darkness (2013),
星际迷航：浩瀚无垠,Star Trek Beyond (2016),
印第安納瓊斯：法櫃奇兵,Raiders of the Lost Ark (1981),
印第安納瓊斯：魔宮傳奇,Indiana Jones and the Temple of Doom (1984),
印第安納瓊斯：聖戰奇兵,Indiana Jones and the Last Crusade (1989),
印第安納瓊斯：水晶骷髏王國,Indiana Jones and the Kingdom of the Crystal Skull (2008),
印第安納瓊斯：命運轉輪,Indiana Jones and the Dial of Destiny (2023),
银翼杀手(4K原盘+含国语次世代),Blade Runner (1982),55.5G
银翼杀手2049(4K原盘+国语次世代),Blade Runner 2049 (2017),78.1G
终结者1(4K原盘+含国语次世代),The Terminator (1984),79.9G
终结者2：审判日(4K原盘+含国语音轨),Terminator 2: Judgment Day (1991),90.8G
终结者3：机器之战,Terminator 3: Rise of the Machines (2003),
终结者2018/未来战士2018(港)/未来战士4/终结者4：救世主(4K原盘+含国语音轨),Terminator Salvation (2009),53.1G
终结者：创世纪/终结者5(4K原盘+含国语次世代）,Terminator Genisys (2015),62G
终结者：黑暗命运/未来战士：黑暗命运/终结者6：黑暗宿命/魔鬼终结者：黑暗宿命(4K原盘+含国语次世代),Terminator: Dark Fate (2019),65.8G
侏罗纪公园1(4K原盘+含国语次世代),Jurassic Park (1993),59.8G
侏罗纪公园2(4K原盘+含国语次世代),The Lost World: Jurassic Park (1997),58G
侏罗纪公园3(4K原盘+含国语次世代),Jurassic Park 3 (2001),56.5G
侏罗纪世界(含国语次世代音轨）,Jurassic World (2015),46.5G
侏罗纪世界：殒落国度(4K原盘+含国语次世代),Jurassic World: Fallen Kingdom (2018),82.4G
侏罗纪世界3：统治,Jurassic World Dominion (2022),
侏罗纪世界：重生(4K原盘+国语次世代),Jurassic World: Rebirth (2025),92.8G
碟中谍1,Mission: Impossible (1996),
碟中谍2,Mission: Impossible 2 (2000),
碟中谍3(4K原盘+国语次世代),Mission: Impossible III (2006),65.4G
碟中谍4,Mission: Impossible: Ghost Protocol (2011),
